iter	Passed	Remaining
419	2210	3053
420	2214	3045
421	2217	3037
422	2220	3028
423	2225	3022
424	2233	3021
425	2237	3015
426	2242	3008
427	2245	3000
428	2248	2992
429	2261	2998
430	2267	2994
431	2272	2987
432	2289	2998
433	2292	2990
434	2296	2982
435	2303	2979
436	2306	2970
437	2308	2962
438	2317	2962
439	2323	2956
440	2326	2949
441	2329	2941
442	2333	2933
443	2337	2927
444	2347	2928
445	2351	2920
446	2354	2913
447	2364	2912
448	2368	2907
449	2374	2901
450	2377	2894
451	2385	2892
452	2388	2884
453	2395	2880
454	2403	2879
455	2409	2874
456	2412	2866
457	2415	2858
458	2418	2850
459	2422	2843
460	2425	2836
461	2432	2832
462	2435	2824
463	2437	2816
464	2440	2807
465	2450	2808
466	2454	2801
467	2460	2796
468	2463	2788
469	2470	2785
470	2477	2782
471	2483	2778
472	2486	2770
473	2489	2762
474	2492	2754
475	2498	2750
476	2501	2743
477	2508	2738
478	2511	2731
479	2514	2724
480	2517	2716
481	2520	2708
482	2523	2701
483	2526	2693
484	2530	2687
485	2533	2679
486	2544	2680
487	2548	2674
488	2553	2668
489	2556	2660
490	2558	2652
491	2562	2645
492	2569	2642
493	2574	2636
494	2581	2633
495	2589	2631
496	2595	2626
497	2598	2619
498	2602	2612
499	2605	2605
500	2612	2602
501	2616	2595
502	2623	2591
503	2626	2584
504	2629	2577
505	2632	2570
506	2640	2567
507	2643	2560
508	2649	2555
509	2657	2553
510	2661	2547
511	2665	2540
512	2669	2533
513	2671	2526
514	2684	2528
515	2695	2528
516	2698	2521
517	2701	2513
518	2707	2509
519	2714	2505
520	2718	2499
521	2722	2493
522	2731	2491
523	2735	2484
524	2739	2478
525	2742	2471
526	2746	2465
527	2751	2459
528	2756	2454
529	2759	2447
530	2762	2440
531	2765	2432
532	2773	2430
533	2777	2423
534	2782	2418
535	2790	2415
536	2793	2408
537	2797	2401
538	2801	2395
539	2803	2388
540	2808	2382
541	2817	2380
542	2821	2374
543	2825	2368
544	2829	2362
545	2832	2355
546	2843	2355
547	2847	2348
548	2853	2344
549	2856	2337
550	2859	2330
551	2863	2323
552	2866	2317
553	2869	2309
554	2875	2305
555	2878	2298
556	2881	2291
557	2885	2285
558	2888	2278
559	2891	2271
560	2893	2264
561	2902	2261
562	2906	2256
563	2910	2249
564	2915	2244
565	2920	2239
566	2923	2232
567	2927	2226
568	2929	2219
569	2935	2214
570	2943	2211
571	2946	2204
572	2949	2197
573	2953	2191
574	2955	2184
575	2960	2179
576	2969	2176
577	2973	2170
578	2976	2164
579	2985	2161
580	2989	2156
581	2993	2149
582	2996	2142
583	2999	2136
584	3009	2134
585	3012	2128
586	3016	2122
587	3019	2115
588	3022	2108
589	3026	2103
590	3034	2100
591	3039	2094
592	3042	2088
593	3051	2085
594	3055	2079
595	3058	2073
596	3062	2067
597	3072	2065
598	3076	2059
599	3082	2055
600	3086	2048
601	3089	2042
602	3095	2038
603	3104	2035
604	3110	2030
605	3118	2027
606	3126	2023
607	3129	2017
608	3132	2011
609	3138	2006
610	3144	2001
611	3146	1994
612	3152	1990
613	3157	1984
614	3160	1978
615	3164	1972
616	3167	1966
617	3177	1964
618	3184	1960
619	3188	1954
620	3191	1947
621	3194	1941
622	3201	1937
623	3204	1930
624	3210	1926
625	3213	1919
626	3216	1913
627	3219	1906
628	3227	1903
629	3230	1897
630	3237	1893
631	3245	1889
632	3248	1883
633	3252	1877
634	3255	1871
635	3257	1864
636	3264	1860
637	3272	1856
638	3278	1851
639	3280	1845
640	3284	1839
641	3286	1832
642	3293	1828
643	3297	1822
644	3304	1818
645	3311	1814
646	3317	1810
647	3320	1803
648	3323	1797
649	3326	1790
650	3332	1786
651	3339	1782
652	3343	1776
653	3347	1770
654	3349	1764
655	3352	1758
656	3362	1755
657	3366	1750
658	3370	1744
659	3374	1738
660	3381	1734
661	3386	1729
662	3389	1723
663	3392	1716
664	3395	1710
665	3401	1705
666	3408	1701
667	3414	1696
668	3417	1691
669	3421	1685
670	3424	1678
671	3432	1675
672	3435	1669
