iter	Logloss
0	0.6820250903
1	0.6720442509
2	0.660243871
3	0.6497273825
4	0.6404988108
5	0.6309413793
6	0.6224289877
7	0.6115946389
8	0.6030530871
9	0.5939681632
10	0.5846760756
11	0.5750162324
12	0.5660353585
13	0.5572708692
14	0.5485986815
15	0.5415246882
16	0.5324860087
17	0.5240377883
18	0.5165208688
19	0.5109214081
20	0.5043459933
21	0.4970188726
22	0.4897694968
23	0.4812550925
24	0.4753010756
25	0.4695237049
26	0.4629466051
27	0.4576383251
28	0.4519130964
29	0.4455000052
30	0.4397681301
31	0.4339491019
32	0.429998667
33	0.4250079196
34	0.4186786581
35	0.4135371483
36	0.4079375004
37	0.4032933522
38	0.3986180779
39	0.3940170382
40	0.3904782395
41	0.3863207109
42	0.3809025536
43	0.3767149522
44	0.3727947773
45	0.3679419675
46	0.3638660454
47	0.3601670997
48	0.3545095058
49	0.350804522
50	0.3473955166
51	0.3433592627
52	0.339848571
53	0.3350342359
54	0.3313727818
55	0.328347095
56	0.3254365277
57	0.3215959935
58	0.317628919
59	0.314502599
60	0.3118196265
61	0.3083550623
62	0.3051284135
63	0.3024532107
64	0.3008538463
65	0.2979386687
66	0.2952474114
67	0.292866151
68	0.2901621859
69	0.2878367184
70	0.2854044862
71	0.2829572057
72	0.2807298672
73	0.2782549478
74	0.2761503348
75	0.273868631
76	0.2722245667
77	0.2702724714
78	0.26792669
79	0.2665156967
80	0.2641386254
81	0.2616172744
82	0.2595102509
83	0.2578645016
84	0.2564361666
85	0.2539198238
86	0.2519414703
87	0.248809674
88	0.2470927326
89	0.2460535904
90	0.2445879977
91	0.2423344009
92	0.240659
93	0.2392106319
94	0.237746069
95	0.2355303618
96	0.2339185001
97	0.2321859254
98	0.2301826711
99	0.2285123018
100	0.2269756107
101	0.2261390686
102	0.2249301138
103	0.2236468543
104	0.222338343
105	0.2202834147
106	0.2188042015
107	0.2174850651
108	0.2159349874
109	0.2150179857
110	0.2136380248
111	0.2125227056
112	0.2110323994
113	0.2097257134
114	0.2090058356
115	0.2076763317
116	0.2060356374
117	0.2049040063
118	0.202930193
119	0.2017813372
120	0.2009593285
121	0.1998004796
122	0.1987882509
123	0.1977620973
124	0.1967823988
125	0.195802162
126	0.1950597588
127	0.1936227763
128	0.1924207488
129	0.1917365607
130	0.1911751215
131	0.1905229019
132	0.189661459
133	0.1883340262
134	0.1874390351
135	0.1865432833
136	0.1857463392
137	0.1844523377
138	0.1834414078
139	0.1824889973
140	0.1814182843
141	0.1809091392
142	0.1798915512
143	0.178880282
144	0.1777973292
145	0.1770162056
146	0.1759999047
147	0.1754431461
148	0.1746958867
149	0.1738179915
150	0.1730237856
151	0.1725489377
152	0.1718606539
153	0.1708469157
154	0.1696896699
155	0.1689363257
156	0.1683607979
157	0.1676564948
158	0.1669264717
159	0.1658642892
160	0.1651145139
161	0.164461288
162	0.1637735893
163	0.162974223
164	0.1626172563
165	0.1619473089
166	0.1611603111
167	0.160494506
168	0.1597898986
169	0.159206484
170	0.1586890191
171	0.1575854951
172	0.1570382264
173	0.1565495239
174	0.155746928
175	0.1550858269
176	0.1544515107
177	0.1538293991
178	0.1533007944
179	0.1528494899
180	0.1522890103
181	0.1518416375
182	0.1512987921
183	0.1505220682
184	0.1498670988
185	0.1494164496
186	0.1490884559
187	0.1483830411
188	0.1477997669
189	0.147523447
190	0.1468287041
191	0.1465004295
192	0.1459975681
193	0.1454931856
194	0.1451229844
195	0.1446201465
196	0.1443238054
197	0.1437079541
198	0.1434065696
199	0.1429922771
200	0.1423509048
201	0.1420520478
202	0.1416578
203	0.1412555952
204	0.1409724768
205	0.1404400925
206	0.1401016727
207	0.1398923207
208	0.1391554288
209	0.1385042389
210	0.1378880366
211	0.1373985267
212	0.1371133254
213	0.1366505652
214	0.1361827382
215	0.1358319148
216	0.1354706887
217	0.1348731152
218	0.1346015462
219	0.1341027336
220	0.1335787627
221	0.1332215034
222	0.1327232642
223	0.1322806423
224	0.1319828619
225	0.1315090203
226	0.1310036782
227	0.1306834192
228	0.1303114628
229	0.1300278295
230	0.1297059322
231	0.1292478175
232	0.1289282489
233	0.1282591322
234	0.1280042262
235	0.1276008278
236	0.1271889575
237	0.1268884858
238	0.126678537
239	0.1263911709
240	0.126137201
241	0.1258730742
242	0.1255362341
243	0.125282428
244	0.125085585
245	0.1247906363
246	0.1244277369
247	0.1239340612
248	0.1236217124
249	0.1234110616
250	0.1230873155
251	0.1225533983
252	0.1221389302
253	0.1218896409
254	0.1216773285
255	0.1212894112
256	0.1209187888
257	0.1206436274
258	0.1201472838
259	0.1198814837
260	0.1196700488
261	0.1195966334
262	0.1193818988
263	0.1190216673
264	0.1186730086
265	0.1183660425
266	0.1179934192
267	0.1177788015
268	0.1175749258
269	0.1172432929
270	0.1169702729
271	0.1168169361
272	0.1164997428
273	0.1161906939
274	0.1159004726
275	0.1156367437
276	0.1151936303
277	0.115049409
278	0.1149275142
279	0.1147407345
280	0.114368977
281	0.1140686222
282	0.1137820051
283	0.1136671429
284	0.1135018706
285	0.1131545459
286	0.1128881373
287	0.1126041295
288	0.1122581856
289	0.1119612711
290	0.1117536627
291	0.1114807363
292	0.1113077175
293	0.1109606386
294	0.1107643455
295	0.1106371382
296	0.1103539262
297	0.1101712069
298	0.1098001398
299	0.1096180641
300	0.1094992234
301	0.1091515243
302	0.108938065
303	0.1087342011
304	0.1085557294
305	0.1083481794
306	0.1079847418
307	0.107917458
308	0.1077331005
309	0.1075357776
310	0.1073774092
311	0.1071066359
312	0.1070210041
313	0.1068501151
314	0.1065361748
315	0.1063528704
316	0.1061549626
317	0.1060076755
318	0.1058944983
319	0.1057109365
320	0.1054371208
321	0.1051814541
322	0.1049467918
323	0.1048322104
324	0.1045989639
325	0.1045468102
326	0.1043100884
327	0.1040655967
328	0.1038691866
329	0.1037242866
330	0.1035820429
331	0.1033520377
332	0.1031447569
333	0.1030191293
334	0.1028925071
335	0.102754511
336	0.1025109437
337	0.1023414237
338	0.1022021288
339	0.1021096399
340	0.1020309823
341	0.1019115565
342	0.1017569676
343	0.1015942579
344	0.1012906619
345	0.1011227099
346	0.1010346442
347	0.1009451743
348	0.1008314472
349	0.1006794093
350	0.1004024693
351	0.1003509709
352	0.1002244189
353	0.1001212933
354	0.09997771562
355	0.09989758357
356	0.09981321557
357	0.099727537
358	0.09966144679
359	0.09953949349
360	0.09933560611
361	0.09914674349
362	0.09900226476
363	0.09885543402
364	0.09872498542
365	0.09864412788
366	0.09851834818
367	0.09837835113
368	0.09817977624
369	0.09798682394
370	0.09785663862
371	0.09771554163
372	0.09765023542
373	0.09755968901
374	0.09747582418
375	0.09728892742
